Date,2022-08-10
Time,12-14-00

OtherInfo,,,Pulse On Duration (us),4102
DriveVoltage (V),3.7,,Pulse Off Duration (us),8000
HeaterResistance (Ohm),0.58,,Pulse Period (us),12102
PuffTrigger (Pa),0,,Fixed Power Mode
Power (W),8
Tester Name,Enter Your Name
Channel,A,

Pulse Count,Puff Count,Pulse Start (ms),Pulse End (ms),Resistance Start (Ω),Resistance End (Ω),Power Start (W),Power End (W),dR/dt (Ω/s),Energy in pulse (J),Pressure differential (Pa),Temperature (C)
162,20,2231.22,2236.57,0.68964,0.70112,8.04866,8.00666,2.14824,0.42948,6116,197
163,20,2244.54,2249.89,0.68977,0.70093,8.04196,7.99674,2.08611,0.42903,6116,197
164,20,2284.49,2289.84,0.68983,0.70166,8.05862,7.96384,2.21356,0.4286,6116,198
165,20,2297.81,2303.19,0.68987,0.7019,8.08719,8.01294,2.23429,0.43309,6116,199
166,20,2311.16,2316.51,0.69072,0.70225,8.06563,7.99412,2.1582,0.42959,6116,199
167,20,2324.5,2329.85,0.68996,0.70238,8.09064,7.98272,2.32436,0.42996,6116,199
168,20,2337.85,2343.24,0.69006,0.70118,8.08588,8.04775,2.06586,0.4348,6116,198
169,20,2351.22,2356.56,0.68974,0.70196,8.04987,7.97794,2.28631,0.42794,6116,199
170,20,2364.53,2369.88,0.69118,0.70107,8.03203,8.02766,1.84982,0.42959,6116,197
171,20,2377.87,2383.18,0.69004,0.70197,8.03354,7.97733,2.24737,0.42508,6116,199
172,20,2391.17,2396.52,0.69017,0.70197,8.06528,7.98715,2.20747,0.4294,6116,199
173,20,2404.51,2409.85,0.6899,0.70231,8.0904,7.98506,2.3209,0.42921,6116,199
174,20,2417.85,2423.24,0.69021,0.7017,8.08819,8.02278,2.13354,0.43419,6116,198
175,20,2431.22,2436.56,0.69077,0.70182,8.05133,8.01083,2.06555,0.42885,6116,198
176,20,2444.55,2449.9,0.69025,0.70184,8.05025,7.99203,2.1664,0.42913,6116,199
177,20,2457.88,2463.22,0.6898,0.70236,8.04803,8.01661,2.35037,0.42892,6116,199
178,20,2471.21,2476.56,0.6906,0.70164,8.05261,7.97177,2.06663,0.42865,6116,198
179,20,2484.53,2489.87,0.69111,0.7013,8.06084,8.02433,1.90487,0.42947,6116,198
180,20,2497.88,2503.22,0.69102,0.70197,8.02972,8.00525,2.04831,0.42813,6116,199
181,20,2511.2,2516.54,0.69072,0.70167,8.0477,7.96504,2.04769,0.42754,6116,198
182,20,2524.51,2529.9,0.6903,0.70171,8.07824,8.01919,2.1186,0.43382,6116,198
183,20,2551.2,2556.55,0.69089,0.70219,8.06046,8.03179,2.11028,0.43046,6116,199
184,20,2577.87,2583.22,0.69194,0.70203,8.03837,7.98296,1.8869,0.42857,6116,199
185,20,2591.19,2596.54,0.69124,0.70269,8.04661,8.01568,2.13992,0.42966,6116,200
186,20,2604.53,2609.88,0.69101,0.70273,8.04383,7.98504,2.19075,0.42877,6116,200
187,20,2617.86,2623.2,0.69182,0.7025,8.05739,7.99233,1.99729,0.42852,6116,199
188,20,2631.2,2636.59,0.69193,0.70318,8.05186,8.00695,2.08945,0.43278,6116,200
189,20,2644.55,2649.9,0.69124,0.70264,8.0652,7.98814,2.13089,0.42942,6116,200
190,20,2657.9,2663.28,0.6914,0.70274,8.08217,7.98785,2.10788,0.43228,6116,200
191,20,2671.25,2676.64,0.69209,0.70304,8.08829,8.00106,2.03297,0.4336,6116,200
192,20,2684.62,2690.01,0.69226,0.70339,8.06382,8.02708,2.0667,0.43364,6116,201
193,20,2697.99,2703.34,0.69121,0.70348,8.04949,8.00064,2.29447,0.42934,6116,201
194,20,2711.33,2716.68,0.69168,0.7036,8.05054,7.98232,2.22891,0.42887,6116,201
195,20,2724.67,2730.05,0.69181,0.7036,8.07351,7.99391,2.19036,0.43221,6116,201
196,20,2738.03,2743.41,0.69194,0.70314,8.07345,8.01301,2.08195,0.43272,6116,200
197,20,2751.39,2756.73,0.6916,0.70426,8.05252,8.00206,2.36766,0.42865,6116,202
198,20,2764.74,2770.08,0.69201,0.70372,8.04627,8.00482,2.19019,0.42856,6116,201
199,20,2791.43,2796.81,0.69238,0.70286,8.08599,8.01149,1.94571,0.43302,6116,200
200,20,2804.8,2810.18,0.6922,0.7037,8.05909,8.01764,2.13635,0.43246,6116,201
201,20,2818.16,2823.51,0.69256,0.70377,8.04457,7.9888,2.09622,0.42889,6116,201
202,20,2831.5,2836.89,0.69262,0.70439,8.05033,7.99577,2.18349,0.43244,6116,202
203,20,2844.85,2850.24,0.69204,0.70423,8.06935,7.9958,2.26473,0.43295,6116,202
204,20,2858.21,2863.59,0.69244,0.70417,8.06791,8.01099,2.17889,0.43252,6116,202
205,20,2871.57,2876.96,0.69301,0.70381,8.02263,8.01113,2.00526,0.43211,6116,201
206,20,2884.92,2890.27,0.69333,0.70361,8.03371,7.98772,1.92197,0.42857,6116,201
207,20,2898.26,2903.65,0.69339,0.70363,8.04598,8.00083,1.90156,0.43246,6116,201
208,20,2911.61,2917,0.69313,0.7048,8.0536,7.98529,2.16773,0.43224,6116,203
209,20,2924.96,2930.35,0.69228,0.70474,8.06609,8.01528,2.31438,0.43339,6116,203
210,20,2938.33,2943.72,0.69268,0.70393,8.04032,8.01627,2.09027,0.43272,6116,202
211,20,2951.68,2957.03,0.69357,0.70364,7.99524,7.99545,1.88302,0.42775,6116,201
212,20,2965.02,2970.36,0.69356,0.70419,8.02263,7.99823,1.98786,0.42775,6116,202

0,21,0,4.14,0.59918,0.61903,7.63523,7.46466,4.79673,0.31256,6116,79
1,21,12.1,16.67,0.60799,0.62616,8.05411,7.95285,3.97647,0.36575,6116,89
2,21,24.66,29.27,0.61409,0.63163,8.05328,7.95448,3.8084,0.36897,6116,97
3,21,37.27,41.95,0.61862,0.63625,8.05571,7.94869,3.76376,0.3745,6116,103
4,21,49.92,54.64,0.62292,0.64067,8.05118,7.96307,3.75943,0.37793,6116,110
5,21,62.62,67.38,0.62703,0.64398,8.06897,7.95108,3.5616,0.38127,6116,115
6,21,75.35,80.15,0.63053,0.64736,8.09199,7.9501,3.50545,0.38501,5569,120
7,21,88.13,92.96,0.63278,0.65047,8.12312,7.97465,3.65577,0.38876,5569,124
8,21,100.95,105.83,0.63643,0.65348,8.10949,7.97754,3.49683,0.39252,5569,128
9,21,113.8,118.68,0.63881,0.65588,8.09151,7.99659,3.49755,0.39254,5569,132
10,21,126.67,131.55,0.64138,0.65798,8.07723,7.97169,3.4023,0.39159,5569,135
11,21,139.55,144.46,0.64382,0.66043,8.07576,7.98665,3.37678,0.39433,5569,139
12,21,165.36,170.32,0.64838,0.66371,8.06457,7.9632,3.09335,0.39748,5569,143
13,21,178.29,183.28,0.64995,0.66496,8.08242,7.99236,3.00445,0.40106,5569,145
14,21,191.25,196.25,0.65149,0.6678,8.07378,7.97609,3.26331,0.40124,5569,149
15,21,204.22,209.22,0.65301,0.66855,8.06701,8.00321,3.11257,0.40175,5569,150
16,21,217.22,222.21,0.655,0.67026,8.06453,7.97378,3.05486,0.40015,5569,153
17,21,230.21,235.25,0.65638,0.67028,8.05464,8.01108,2.76092,0.40485,5569,153
18,21,243.23,248.27,0.65746,0.67337,8.05711,7.96369,3.16053,0.40372,5569,157
19,21,269.28,274.36,0.66123,0.6747,8.05722,7.9842,2.65554,0.40745,5569,159
20,21,282.33,287.4,0.66083,0.67623,8.08502,7.98165,3.0356,0.40729,5569,161
21,21,295.39,300.5,0.66199,0.67744,8.06873,8.00883,3.02139,0.41078,5569,163
22,21,308.47,313.55,0.66439,0.67716,8.03273,8.00184,2.51707,0.40727,5569,163
23,21,321.55,326.62,0.66503,0.6779,8.07222,7.93572,2.53789,0.4058,5569,164
24,21,347.76,352.9,0.66648,0.68015,8.09068,7.99048,2.65441,0.41328,5569,167
25,21,360.87,366.03,0.66676,0.68102,8.09194,8.02047,2.76338,0.4157,5569,168
26,21,374,379.11,0.6682,0.68119,8.03344,7.99952,2.54043,0.40964,5569,169
27,21,387.11,392.22,0.66881,0.68229,8.06831,7.93878,2.63921,0.40898,5569,170
28,21,400.22,405.4,0.66906,0.6834,8.1278,7.99215,2.76475,0.4175,5569,172
29,21,413.39,418.58,0.66949,0.68294,8.1193,8.02392,2.59167,0.41891,5569,171
30,21,426.57,431.76,0.66937,0.68366,8.11621,7.965,2.75587,0.4173,5569,172
31,21,439.72,444.95,0.67089,0.68309,8.11888,8.0267,2.33291,0.4222,5569,171
32,21,452.92,458.1,0.67,0.684,8.1154,7.96724,2.69811,0.41654,5569,173
33,21,466.08,471.31,0.67144,0.68407,8.11708,8.03003,2.41606,0.42224,5569,173
34,21,492.45,497.64,0.67207,0.68499,8.09636,8.00377,2.4906,0.41779,5569,174
35,21,505.63,510.82,0.67249,0.68565,8.09517,7.98846,2.5369,0.41737,5569,175
36,21,518.81,524,0.67278,0.68606,8.09957,8.00358,2.55907,0.41787,5569,176
37,21,532,537.18,0.67359,0.6857,8.05245,8.02711,2.33219,0.41646,5569,175
38,21,545.18,550.37,0.67344,0.68717,8.07158,7.94774,2.6467,0.4157,5569,177
39,21,558.34,563.57,0.67346,0.68727,8.12425,7.99328,2.64294,0.42147,5569,177
40,21,571.56,576.78,0.67298,0.68726,8.14414,7.99494,2.73275,0.42123,5569,177
41,21,584.78,590,0.67447,0.68702,8.13577,8.00365,2.40138,0.42123,5569,177
42,21,598,603.23,0.67458,0.68796,8.09426,8.0266,2.56082,0.42156,5569,178
43,21,611.23,616.45,0.67511,0.68811,8.10271,7.95836,2.4864,0.41919,5569,179
44,21,624.42,629.69,0.67601,0.68774,8.11432,8.03449,2.22656,0.42552,5569,178
45,21,637.66,642.89,0.67528,0.68837,8.08964,7.98814,2.5036,0.42043,5569,179
46,21,650.86,656.09,0.67617,0.6882,8.06136,8.03303,2.30168,0.42086,5569,179
47,21,664.08,669.27,0.67631,0.68819,8.05527,7.96987,2.28845,0.41585,5569,179
48,21,677.26,682.49,0.67559,0.68893,8.09497,7.98939,2.55144,0.4206,5569,180
49,21,690.47,695.7,0.67637,0.68886,8.09076,8.01697,2.39016,0.42121,5569,180
50,21,743.35,748.61,0.67756,0.68982,8.10153,8.00022,2.33007,0.42347,5569,181
51,21,756.59,761.85,0.67821,0.6899,8.09511,8.00995,2.22089,0.42356,5569,181
52,21,769.82,775.05,0.67815,0.68998,8.08523,7.99181,2.26249,0.42041,5569,181
53,21,783.05,788.31,0.67791,0.69075,8.10176,7.98903,2.43978,0.42318,5569,182
54,21,796.28,801.55,0.6779,0.69179,8.09875,8.01436,2.63897,0.42458,5569,184
55,21,809.53,814.76,0.67982,0.69034,8.07001,7.99627,2.01285,0.42013,5569,182
56,21,822.76,828.02,0.67894,0.69116,8.09337,7.98288,2.32154,0.4228,5569,183
57,21,835.99,841.26,0.67911,0.69105,8.10694,7.99666,2.26653,0.42433,5569,183
58,21,849.24,854.51,0.68033,0.69085,8.05867,8.04938,1.99839,0.42444,5569,183
59,21,862.5,867.73,0.67941,0.69169,8.06129,7.94493,2.34853,0.41856,5569,184
60,21,875.7,880.97,0.68025,0.6909,8.09236,8.0302,2.02173,0.42482,5569,183
61,21,888.96,894.19,0.67951,0.69227,8.07994,7.97172,2.4397,0.41975,5569,185
62,21,902.19,907.46,0.67977,0.69292,8.11321,7.98515,2.49918,0.42419,5569,186
63,21,915.46,920.76,0.6805,0.69291,8.10307,8.02522,2.3382,0.42739,5569,186
64,21,928.73,934,0.68056,0.69211,8.08671,7.999,2.19258,0.42385,5569,184
65,21,941.98,947.25,0.68018,0.69312,8.09248,7.97968,2.45692,0.4235,5569,186
66,21,955.23,960.53,0.68047,0.69271,8.0756,8.04428,2.30801,0.42717,5569,185
67,21,968.5,973.73,0.68137,0.69176,8.01701,8.01272,1.98872,0.41917,5569,184
68,21,981.73,986.96,0.68093,0.69329,8.04994,7.94056,2.3648,0.41815,5569,186
69,21,994.94,1000.24,0.68131,0.69299,8.10721,8.00583,2.20154,0.42699,5569,186
70,21,1008.21,1013.48,0.68564,0.69218,7.75971,8.13409,1.24166,0.4188,5569,185
71,21,1021.48,1026.64,0.68157,0.6932,7.93896,7.89999,2.25494,0.40864,5569,186
72,21,1034.61,1039.88,0.68146,0.69378,8.04885,7.97103,2.33882,0.42212,5569,187
73,21,1047.84,1053.11,0.68179,0.69341,8.08236,8.00165,2.20598,0.42381,5569,186
74,21,1061.11,1066.38,0.68209,0.69462,8.06314,8.00536,2.37762,0.4234,5569,188
75,21,1074.37,1079.64,0.68146,0.69413,8.07623,7.99151,2.40404,0.42338,5569,187
76,21,1087.63,1092.9,0.68178,0.69375,8.05133,8.03259,2.27153,0.42381,5569,187
77,21,1100.9,1106.13,0.68198,0.69415,8.04035,7.97243,2.32553,0.41873,5569,187
78,21,1114.13,1119.4,0.68231,0.69425,8.08778,7.97318,2.26622,0.4232,5569,188
79,21,1127.39,1132.69,0.68344,0.69397,8.08637,8.029,1.98502,0.42705,5569,187
80,21,1140.68,1145.95,0.68175,0.69456,8.05292,8.01538,2.43209,0.42339,5569,188
81,21,1153.94,1159.21,0.68405,0.69405,8.02198,7.99655,1.89741,0.42208,5569,187
82,21,1167.18,1172.45,0.68299,0.69466,8.04567,7.98785,2.21548,0.42248,5569,188
83,21,1180.43,1185.7,0.68286,0.69498,8.03809,8.00995,2.29936,0.42286,5569,189
84,21,1193.69,1198.96,0.68257,0.69548,8.04191,7.99646,2.45053,0.42261,5569,189
85,21,1206.94,1212.19,0.68371,0.69539,8.06847,7.94273,2.22455,0.42029,5569,189
86,21,1220.19,1225.53,0.68293,0.69609,8.1275,8.01269,2.46279,0.43094,5569,190
87,21,1233.51,1238.81,0.68472,0.6961,8.08191,8.01673,2.14291,0.42661,5569,190
88,21,1246.81,1252.11,0.68437,0.69569,8.0711,8.00179,2.13222,0.42593,5569,190
89,21,1260.09,1265.4,0.68417,0.69603,8.06982,7.9956,2.23575,0.42653,5569,190
90,21,1273.37,1278.68,0.68459,0.69643,8.07334,7.99147,2.23108,0.42652,5569,191
91,21,1286.66,1291.97,0.68429,0.69649,8.08025,8.01054,2.29778,0.42721,5569,191
92,21,1299.96,1305.26,0.68497,0.69601,8.071,7.99038,2.07871,0.42562,5569,190
93,21,1313.24,1318.55,0.68472,0.69674,8.07324,8.00582,2.26394,0.42689,5569,191
94,21,1326.54,1331.85,0.68481,0.69713,8.07104,7.99512,2.32084,0.42655,5569,192
95,21,1339.82,1345.13,0.68488,0.69709,8.08429,7.98907,2.30024,0.42674,5569,192
96,21,1353.12,1358.43,0.68477,0.69674,8.08221,8.02594,2.25401,0.42767,5569,191
97,21,1366.42,1371.73,0.68554,0.69616,8.0494,7.99183,2.0023,0.42589,5569,190
98,21,1379.7,1385,0.68611,0.69565,8.0659,7.9892,1.79883,0.42546,5569,190
99,21,1392.98,1398.29,0.68534,0.69665,8.07442,8.00953,2.1293,0.42702,5569,191
100,21,1406.28,1411.59,0.68569,0.69704,8.05511,8.00853,2.13817,0.42648,5569,192
101,21,1419.57,1424.88,0.68554,0.6978,8.05227,7.98274,2.31022,0.42572,5569,193
102,21,1432.85,1438.16,0.68618,0.69764,8.05765,8.00663,2.15995,0.4265,5569,192
103,21,1446.14,1451.45,0.68681,0.69764,8.04694,7.99664,2.04171,0.42595,5569,192
104,21,1459.43,1464.74,0.68619,0.69794,8.06905,7.98211,2.21317,0.42615,5569,193
105,21,1472.73,1478.07,0.68547,0.69802,8.09259,8.00031,2.34637,0.42968,5569,193
106,21,1486.04,1491.39,0.68592,0.69862,8.08446,8.00092,2.37618,0.43028,5569,194
107,21,1499.35,1504.7,0.68634,0.69775,8.0937,7.9863,2.13412,0.43014,5569,193
108,21,1512.66,1518.01,0.68687,0.69742,8.09695,8.01045,1.9717,0.43087,5569,192
109,21,1525.99,1531.34,0.68658,0.69837,8.07897,8.00302,2.20436,0.43019,5569,194
110,21,1539.31,1544.65,0.68758,0.69832,8.08272,7.98309,2.01077,0.42895,5569,193
111,21,1552.62,1557.97,0.68798,0.69826,8.09557,7.99936,1.92204,0.43053,5569,193
112,21,1565.95,1571.3,0.68683,0.6985,8.08588,8.02996,2.18259,0.43109,5569,194
113,21,1579.28,1584.59,0.68653,0.69911,8.07376,7.97157,2.36849,0.426,5569,195
114,21,1592.58,1597.93,0.68718,0.69887,8.09082,8.00937,2.18692,0.43068,5569,194
115,21,1619.23,1624.58,0.68766,0.69872,8.09864,8.02196,2.06905,0.43122,5569,194
116,21,1632.57,1637.92,0.68799,0.69939,8.071,7.98922,2.13132,0.42961,5569,195
117,21,1645.89,1651.24,0.68651,0.69987,8.10095,8.00024,2.49949,0.4307,5569,196
118,21,1659.22,1664.57,0.68832,0.69839,8.07517,8.01454,1.88335,0.4304,5569,194
119,21,1672.55,1677.9,0.68696,0.69947,8.07474,7.99234,2.34017,0.42979,5569,195
120,21,1685.86,1691.21,0.68799,0.69931,8.07578,7.99912,2.11767,0.43,5569,195
121,21,1699.18,1704.53,0.68732,0.69963,8.07594,8.00778,2.30104,0.43023,5569,195
122,21,1712.51,1717.86,0.68758,0.69993,8.06624,7.99342,2.30891,0.42959,5569,196
123,21,1725.82,1731.17,0.6889,0.69911,8.05834,8.00602,1.90844,0.42972,5569,195
124,21,1739.14,1744.49,0.6885,0.69911,8.05756,8.00504,1.98495,0.42967,5569,195
125,21,1752.46,1757.76,0.68813,0.69845,8.03584,8.02752,1.94391,0.42567,5569,194
126,21,1765.76,1771.07,0.68816,0.69897,8.00743,7.99221,2.03745,0.42479,5569,194
127,21,1779.04,1784.35,0.68894,0.6991,8.03584,7.97413,1.91424,0.42506,5569,195
128,21,1792.33,1797.68,0.68888,0.69962,8.02519,8.02108,2.00959,0.42923,5569,195
129,21,1805.64,1810.95,0.68844,0.70031,8.05226,7.95629,2.23761,0.42502,5569,196
130,21,1818.94,1824.29,0.68853,0.70088,8.07052,8.01696,2.30303,0.43034,5569,197
131,21,1832.27,1837.62,0.68863,0.70045,8.08222,7.9781,2.21181,0.42961,5569,197
132,21,1845.59,1850.94,0.68941,0.69958,8.06675,8.04242,1.90326,0.43092,5569,195
133,21,1858.94,1864.25,0.68884,0.70066,8.03197,7.99259,2.22597,0.42545,5569,197
134,21,1872.24,1877.55,0.68716,0.69981,8.06522,7.99663,2.3829,0.42644,5569,196
135,21,1885.55,1890.9,0.68855,0.69977,8.05404,7.99194,2.09809,0.42923,5569,196
136,21,1898.86,1904.21,0.68852,0.70022,8.07963,7.97724,2.1887,0.42952,5569,196
137,21,1912.18,1917.53,0.68935,0.70061,8.0513,8.04275,2.10683,0.43051,5569,197
138,21,1925.53,1930.83,0.68866,0.70078,8.0492,7.96608,2.28429,0.4244,5569,197
139,21,1938.83,1944.17,0.68911,0.70058,8.07539,8.0105,2.14578,0.42949,5569,197
140,21,1952.16,1957.51,0.68933,0.70053,8.04895,8.01477,2.09289,0.4297,5569,197
141,21,1965.49,1970.79,0.68896,0.70046,8.04602,7.99556,2.16609,0.4251,5569,197
142,21,1978.79,1984.14,0.68884,0.70103,8.0565,7.98315,2.28042,0.42906,5569,197
143,21,2005.44,2010.79,0.69045,0.70078,8.0394,7.99912,1.93135,0.42903,5569,197
144,21,2032.08,2037.43,0.69031,0.70106,8.05265,7.98304,2.0099,0.42895,5569,197
145,21,2045.4,2050.74,0.69042,0.7011,8.05836,8.01702,1.99779,0.42921,5569,197
146,21,2058.74,2064.08,0.69037,0.70092,8.02928,8.01576,1.9729,0.4284,5569,197
147,21,2072.05,2077.36,0.69055,0.70091,7.99846,7.98456,1.95235,0.42434,5569,197
148,21,2085.36,2090.7,0.69042,0.70079,8.01801,8.00297,1.93938,0.42776,5569,197
149,21,2098.68,2104.02,0.68998,0.70091,8.03699,8.00724,2.0449,0.42838,5569,197
150,21,2111.99,2117.3,0.68994,0.70151,8.03337,7.98694,2.17976,0.42533,5569,198
151,21,2125.3,2130.64,0.68942,0.70201,8.04887,7.99789,2.35406,0.42844,5569,199
152,21,2138.62,2143.97,0.68966,0.70166,8.05089,7.99904,2.24451,0.42933,5569,198
153,21,2151.94,2157.29,0.68913,0.70108,8.05626,8.00754,2.2351,0.4297,5569,197
154,21,2165.26,2170.61,0.68931,0.70168,8.04288,8.00197,2.31404,0.4292,5569,198
155,21,2178.58,2183.93,0.6895,0.70189,8.04653,7.98319,2.31754,0.42879,5569,199
156,21,2191.89,2197.24,0.68961,0.70186,8.05913,8.0064,2.291,0.42975,5569,199
157,21,2205.23,2210.57,0.69032,0.70081,8.02699,8.01941,1.96171,0.42843,5569,197
158,21,2218.55,2223.86,0.6899,0.70147,8.02664,7.99488,2.17899,0.42537,5569,198
159,21,2231.86,2237.16,0.69043,0.70062,8.02599,7.9991,1.91864,0.42466,5569,197
160,21,2245.16,2250.51,0.68997,0.70144,8.03552,7.99772,2.14487,0.42888,5569,198
161,21,2258.48,2263.82,0.69065,0.70126,8.02558,8.00159,1.98491,0.42792,5569,198
162,21,2271.79,2277.14,0.68992,0.70104,8.03318,8.00528,2.08175,0.42902,5569,197
163,21,2285.1,2290.41,0.69084,0.7011,8.00404,7.98872,1.93306,0.4246,5569,197
164,21,2298.41,2303.76,0.69057,0.70147,8.02637,8.0115,2.0375,0.42901,5569,198
165,21,2311.73,2317.04,0.69016,0.70131,8.02324,7.99574,2.09914,0.4253,5569,198
166,21,2351.68,2357.02,0.68988,0.70204,8.04906,7.98677,2.2757,0.42815,5569,199
167,21,2365,2370.36,0.69056,0.70233,8.03949,7.98578,2.19534,0.42947,5569,199
168,21,2378.34,2383.68,0.69012,0.7017,8.06779,8.03056,2.16634,0.42982,5569,198
169,21,2391.69,2397.03,0.69102,0.70142,8.02148,8.0039,1.94521,0.42787,5569,198
170,21,2405,2410.35,0.68932,0.70235,8.0359,7.99496,2.43686,0.42882,5569,199
171,21,2418.31,2423.66,0.69083,0.70128,8.02634,8.008,1.95473,0.42891,5569,198
172,21,2431.63,2436.94,0.69137,0.70165,8.01667,7.99182,1.93629,0.42502,5569,198
173,21,2444.94,2450.28,0.69031,0.70189,8.03758,8.00138,2.16579,0.42824,5569,199
174,21,2458.26,2463.6,0.69077,0.70201,8.02321,7.99966,2.102,0.42781,5569,199
175,21,2471.57,2476.92,0.6912,0.70137,8.02243,8.01168,1.9019,0.42891,5569,198
176,21,2484.89,2490.2,0.69062,0.70294,8.01403,7.97477,2.31951,0.4245,5569,200
177,21,2498.19,2503.54,0.69063,0.70231,8.04029,8.01244,2.18615,0.42941,5569,199
178,21,2511.53,2516.87,0.69082,0.70249,8.02688,7.99637,2.18314,0.42782,5569,199
179,21,2524.84,2530.19,0.69142,0.70261,8.03309,7.9949,2.09467,0.42874,5569,200
180,21,2538.16,2543.51,0.6911,0.7019,8.02446,8.007,2.01964,0.42884,5569,199
181,21,2551.49,2556.83,0.69093,0.70303,8.03839,7.98203,2.2647,0.42774,5569,200
182,21,2564.81,2570.16,0.69126,0.70351,8.04951,7.99621,2.29195,0.42922,5569,201
183,21,2578.15,2583.5,0.69134,0.70313,8.04947,8.00995,2.20439,0.42958,5569,200
184,21,2591.49,2596.83,0.69187,0.70247,8.03926,8.00645,1.98358,0.42842,5569,199
185,21,2604.82,2610.17,0.69115,0.70323,8.04686,7.9704,2.2598,0.42846,5569,201
186,21,2631.5,2636.85,0.69185,0.70351,8.01582,7.99085,2.18036,0.42817,5569,201
187,21,2658.17,2663.56,0.69169,0.70289,8.06613,7.99635,2.07942,0.43288,5569,200
188,21,2671.52,2676.91,0.69179,0.7026,8.06008,8.01,2.00674,0.43308,5569,200
189,21,2684.88,2690.22,0.69211,0.70314,8.04904,7.99977,2.06415,0.4285,5569,200
190,21,2698.22,2703.57,0.69181,0.70357,8.05426,7.98829,2.19954,0.42913,5569,201
191,21,2711.56,2716.95,0.69208,0.70346,8.06388,8.00367,2.11344,0.43302,5569,201
192,21,2724.92,2730.3,0.69227,0.70333,8.05874,8.0015,2.05508,0.43202,5569,201
193,21,2738.27,2743.65,0.69207,0.70363,8.06146,7.98577,2.14764,0.43167,5569,201
194,21,2751.62,2757,0.69256,0.70377,8.06786,8.00862,2.08222,0.43245,5569,201
195,21,2764.98,2770.37,0.69263,0.70344,8.04115,8.02506,2.00611,0.43298,5569,201
196,21,2778.34,2783.68,0.69274,0.70316,8.00584,8.00239,1.94921,0.42742,5569,200
197,21,2791.67,2797.01,0.69246,0.70417,8.03739,7.96718,2.18905,0.42732,5569,202
198,21,2804.99,2810.38,0.69188,0.70357,8.07153,8.01645,2.172,0.43357,5569,201
199,21,2818.35,2823.7,0.69283,0.70403,8.03697,7.99736,2.09412,0.42891,5569,202
200,21,2831.69,2837.04,0.69232,0.70446,8.04699,7.98757,2.26965,0.42892,5569,202
201,21,2858.4,2863.78,0.69266,0.70448,8.06586,7.99322,2.19464,0.43198,5569,202
202,21,2885.12,2890.51,0.69222,0.7045,8.05208,8.01703,2.27949,0.43306,5569,202
203,21,2898.49,2903.83,0.69326,0.70403,8.01668,8.00001,2.01409,0.42764,5569,202
204,21,2911.83,2917.18,0.69302,0.70455,8.03955,7.99613,2.15812,0.42895,5569,202
205,21,2925.18,2930.52,0.69301,0.70409,8.03665,8.01007,2.0723,0.42844,5569,202
206,21,2938.52,2943.87,0.69348,0.70413,8.02118,7.9962,1.99281,0.42846,5569,202
207,21,2951.86,2957.21,0.6935,0.70418,8.02921,7.9967,1.99756,0.42869,5569,202
208,21,2965.2,2970.55,0.6929,0.70405,8.03187,8.00383,2.08552,0.42895,5569,202
209,21,2978.55,2983.89,0.69351,0.70468,8.02707,7.9957,2.09132,0.4278,5569,203
210,21,2991.89,2997.23,0.69278,0.70508,8.04414,7.9879,2.30249,0.42805,5569,203

0,22,0,4.14,0.59987,0.61846,7.6537,7.436,4.489,0.31235,5569,78
1,22,24.69,29.3,0.61382,0.63274,8.05254,7.92825,4.10753,0.36835,5569,98
2,22,37.29,41.98,0.61855,0.63683,8.06633,7.9642,3.90265,0.37591,5569,104
3,22,49.97,54.69,0.62321,0.64077,8.05561,7.96761,3.71777,0.37814,5569,110
4,22,62.67,67.43,0.62641,0.64442,8.0796,7.94546,3.78289,0.38139,5569,115
5,22,75.41,80.21,0.6305,0.64816,8.08948,7.97019,3.67951,0.38543,4761,121
6,22,88.19,93.03,0.63306,0.65071,8.1094,7.95568,3.64777,0.38877,4761,124
7,22,101.01,105.88,0.63583,0.65321,8.11781,7.99073,3.56386,0.39224,4761,128
8,22,113.86,118.74,0.63865,0.65631,8.09479,7.97619,3.62014,0.39213,4761,133
9,22,126.73,131.65,0.64114,0.65821,8.09414,7.97737,3.46957,0.39535,4761,135
10,22,139.62,144.54,0.64416,0.65942,8.08155,7.99986,3.10266,0.3956,4761,137
11,22,152.53,157.45,0.64622,0.66188,8.07634,7.94854,3.185,0.39421,4761,141
12,22,165.44,170.44,0.64836,0.6642,8.10667,7.98137,3.17084,0.4022,4761,144
13,22,178.41,183.41,0.65015,0.66556,8.09988,8.01435,3.07997,0.40285,4761,146
14,22,191.39,196.39,0.65204,0.66741,8.08471,7.9414,3.07819,0.40065,4761,149
15,22,204.36,209.4,0.65393,0.66857,8.1162,8.00357,2.90679,0.40621,4761,150
16,22,217.39,222.42,0.65533,0.67015,8.10973,7.97035,2.94554,0.40441,4761,153
17,22,230.41,235.49,0.6558,0.67244,8.10761,8.01701,3.28114,0.40956,4761,156
18,22,243.47,248.54,0.65786,0.67326,8.09766,7.9561,3.03575,0.40696,4761,157
19,22,256.5,261.61,0.66015,0.6736,8.09062,8.0329,2.63303,0.41195,4761,158
20,22,269.59,274.66,0.66023,0.67507,8.08181,7.95612,2.92439,0.40656,4761,160
21,22,282.64,287.75,0.66085,0.67634,8.13077,7.98086,3.03161,0.41165,4761,162
22,22,295.73,300.84,0.66345,0.67648,8.12384,7.98944,2.54777,0.41169,4761,162
